vOTU_ID	genofeature_module
Ga0531459_000626	SNF2
Ga0531459_000631	Gp4
Ga0531459_000635	SNF2
Ga0531459_000636	SNF2
Ga0531459_000637	L762_PcrA
Ga0531459_000639	PcrA_SNF2
Ga0531459_000640	L762_UvrD
Ga0531459_000641	SNF2
Ga0531459_000644	DnaB
Ga0531459_000645	DnaB
Ga0531459_000647	RecA
Ga0531459_000653	DnaB
Ga0531459_000655	PcrA_SNF2
Ga0531459_000656	SNF2
Ga0531459_000658	SNF2
Ga0531459_000659	L762_SNF2
Ga0531459_000661	Y762_P438_Gp4
Ga0531459_000665	L762_PcrA_SNF2
Ga0531459_000670	DnaB
Ga0531459_000672	DnaB
Ga0531459_000676	Twinkle
Ga0531459_000677	L762_PcrA
Ga0531459_000678	Y762_P438
Ga0531459_000684	DnaB
Ga0531459_000691	Y762_A438_Gp4
Ga0531459_000697	Gp4
Ga0531459_000709	DnaB
Ga0531459_000718	L762
Ga0531459_000719	SNF2
Ga0531459_000720	PcrA_SNF2
Ga0531459_000721	UvrD
Ga0531459_000730	Twinkle
Ga0531459_000732	L762
Ga0531459_000739	PcrA_SNF2
Ga0531459_000743	A438
Ga0531459_000750	F762_P438
Ga0531459_000774	Y762_Gp4
Ga0531459_000775	P438
Ga0531459_000777	PcrA_SNF2
Ga0531459_000783	SNF2
Ga0531459_000798	DnaB_RecA
Ga0531459_000807	SNF2
Ga0531459_000812	L762
Ga0531459_000813	Y762_L438_Gp4
Ga0531459_000815	P438
Ga0531459_000816	DnaB
Ga0531459_000819	Y762_P438_Gp4
Ga0531459_000825	Y762_A438_Gp4
Ga0531459_000829	F762
Ga0531459_000832	RecB
Ga0531459_000834	F762
Ga0531459_000839	SNF2
Ga0531459_000842	RecB_DnaB_RecA
Ga0531459_000847	F762_P438_Gp41_RecA
Ga0531459_000861	DnaB
Ga0531459_000866	DnaB
Ga0531459_000867	L762
Ga0531459_000872	L762_PcrA_SNF2
Ga0531459_000882	P438
Ga0531459_000885	P438
Ga0531459_000894	DnaB
Ga0531459_000898	P438_Gp4
Ga0531459_000902	SNF2
Ga0531459_000926	L438
Ga0531459_000932	SNF2
Ga0531459_000933	SNF2
Ga0531459_000939	L762
Ga0531459_000951	Gp4
Ga0531459_000953	RecB
Ga0531459_000956	RecB
Ga0531459_000961	RecD
Ga0531459_000962	F762_SNF2
Ga0531459_000963	L438
Ga0531459_000967	L762_PcrA_SNF2
Ga0531459_000976	H762
Ga0531459_000978	DnaB
Ga0531459_000979	PcrA
Ga0531459_000984	P438
Ga0531459_000990	F762
Ga0531459_000997	RecB
Ga0531459_001001	DnaB
Ga0531459_001008	L438_DnaB_RecA
Ga0531459_001009	DnaB
Ga0531459_001011	L762_UvrD_SNF2
Ga0531459_001012	L762_PcrA
Ga0531459_001018	P438_Gp4
Ga0531459_001024	DnaB
Ga0531459_001026	L438
Ga0531459_001027	DnaB
Ga0531459_001033	DnaB
Ga0531459_001043	P438
Ga0531459_001045	Gp4
Ga0531459_001047	DnaB_RecA
Ga0531459_001056	P438_Gp41_RecA
Ga0531459_001057	P438
Ga0531459_001067	DnaB
Ga0531459_001089	P438
Ga0531459_001097	L762_SNF2
Ga0531459_001122	Y762_Gp4
Ga0531459_001130	SNF2
Ga0531459_001131	SNF2
Ga0531459_001142	DnaB_RecA
Ga0531459_001144	L762
Ga0531459_001150	SNF2
Ga0531459_001153	SNF2
Ga0531459_001161	SNF2
Ga0531459_001163	DnaB
Ga0531459_001164	L762_PcrA_SNF2
Ga0531459_001169	PcrA_SNF2
Ga0531459_001171	DnaB
Ga0531459_001174	L762_PcrA_SNF2
Ga0531459_001179	F762_P438_Gp41
Ga0531459_001182	SNF2
Ga0531459_001184	L438
Ga0531459_001188	L762_PcrA
Ga0531459_001190	F762_Twinkle
Ga0531459_001191	Y762_P438
Ga0531459_001202	PcrA
Ga0531459_001203	L762_PcrA
Ga0531459_001206	L762_PcrA_SNF2
Ga0531459_001215	PcrA_SNF2
Ga0531459_001216	SNF2
Ga0531459_001230	V438_Gp4
Ga0531459_001256	P438_Gp41_RecA
Ga0531459_001258	L762
Ga0531459_001264	Gp4
Ga0531459_001269	SNF2
Ga0531459_001275	P438
Ga0531459_001282	SNF2
Ga0531459_001288	V438
Ga0531459_001294	Y762_Gp4
Ga0531459_001296	SNF2
Ga0531459_001298	Gp4
Ga0531459_001302	L762_PcrA_SNF2
Ga0531459_001303	Y762_P438_Gp4
Ga0531459_001310	DnaB
Ga0531459_001312	A438
Ga0531459_001334	SNF2
Ga0531459_001337	DnaB
Ga0531459_001343	DnaB
Ga0531459_001344	DnaB
Ga0531459_001347	RecB
Ga0531459_001355	SNF2
Ga0531459_001359	RecA
Ga0531459_001375	L762_PcrA
Ga0531459_001385	UvrD
Ga0531459_001389	DnaB
Ga0531459_001399	DnaB_RecA
Ga0531459_001404	SNF2
Ga0531459_001406	SNF2
Ga0531459_001407	SNF2
Ga0531459_001414	Y762_L438_Gp4
Ga0531459_001421	H762
Ga0531459_001428	RecB_UvsW
Ga0531459_001437	UvrB
Ga0531459_001440	L438
Ga0531459_001455	Twinkle
Ga0531459_001457	P438_Gp4
Ga0531459_001458	DnaB_RecA
Ga0531459_001461	Y762_Gp4
Ga0531459_001467	F762_SNF2
Ga0531459_001471	UvrB
Ga0531459_001478	SNF2
Ga0531459_001485	SNF2
Ga0531459_001492	SNF2
Ga0531459_001493	L762_PcrA_SNF2
Ga0531459_001495	DnaB_RecA
Ga0531459_001510	L762
Ga0531459_001511	Twinkle
Ga0531459_001547	UvrB
Ga0531459_001558	P438
Ga0531459_001561	SNF2
Ga0531459_001571	SNF2
Ga0531459_001589	DnaB
Ga0531459_001591	DnaB
Ga0531459_001599	P438
Ga0531459_001600	DnaB
Ga0531459_001601	SNF2
Ga0531459_001604	DnaB
Ga0531459_001628	RecB
Ga0531459_001630	A438
Ga0531459_001632	Gp4
Ga0531459_001644	L762_UvrD_SNF2
Ga0531459_001645	SNF2
Ga0531459_001654	SNF2
Ga0531459_001656	L438_RecA
Ga0531459_001664	P438_Gp41
Ga0531459_001684	SNF2
Ga0531459_001706	Y762_Gp4
Ga0531459_001711	P438_Gp4
Ga0531459_001721	Y762
Ga0531459_001737	PcrA
Ga0531459_001739	L762_UvrD_SNF2
Ga0531459_001765	L438
Ga0531459_001766	L762_PcrA_SNF2
Ga0531459_001770	SNF2_DnaB
Ga0531459_001785	H762
Ga0531459_001798	PcrA_SNF2
Ga0531459_001802	Y762_P438
Ga0531459_001818	Y762_Gp4
Ga0531459_001819	P438
Ga0531459_001820	Gp4
Ga0531459_001822	SNF2
Ga0531459_001831	Y762_P438
Ga0531460_000001	RecB
Ga0531460_000002	SNF2
Ga0531460_000004	L762_SNF2
Ga0531460_000007	F762_DnaB
Ga0531460_000008	Y762_P438_Gp4
Ga0531460_000011	L762_SNF2
Ga0531460_000012	PcrA_SNF2
Ga0531460_000013	P438
Ga0531460_000015	DnaB
Ga0531460_000021	DnaB
Ga0531460_000023	DnaB
Ga0531460_000025	PcrA_SNF2
Ga0531460_000026	Y762_Gp4
Ga0531460_000028	DnaB
Ga0531460_000037	L762_UvrD_SNF2
Ga0531460_000039	Gp4
Ga0531460_000044	P438
Ga0531460_000049	F762_DnaB
Ga0531460_000050	SNF2
Ga0531460_000052	L762_PcrA_SNF2
Ga0531460_000053	P438_Gp41_RecA
Ga0531460_000054	H762_L438
Ga0531460_000060	L762_SNF2
Ga0531460_000062	Gp4
Ga0531460_000063	F762_SNF2
Ga0531460_000064	Y762_P438_Gp4
Ga0531460_000066	F762_DnaB
Ga0531460_000067	H762
Ga0531460_000077	DnaB
Ga0531460_000079	Y762_Gp4
Ga0531460_000082	L762_UvrD_SNF2
Ga0531460_000092	SNF2
Ga0531460_000097	L762_PcrA_SNF2
Ga0531460_000098	L762_PcrA_SNF2
Ga0531460_000099	H762_RecD
Ga0531460_000104	H762
Ga0531460_000107	P438_Gp4
Ga0531460_000110	DnaB
Ga0531460_000116	H762_A438
Ga0531460_000124	L762_PcrA
Ga0531460_000127	SNF2
Ga0531460_000134	Y762
Ga0531460_000135	RecB
Ga0531460_000148	SNF2
Ga0531460_000154	DnaB
Ga0531460_000158	DnaB
Ga0531460_000165	P438
Ga0531460_000170	H762
Ga0531460_000173	L762_PcrA_SNF2
Ga0531460_000177	P438_Gp4
Ga0531460_000178	Twinkle
Ga0531460_000183	Gp4
Ga0531460_000189	A438
Ga0531460_000190	RecB_SNF2
Ga0531460_000191	L762_PcrA_SNF2
Ga0531460_000205	PcrA_SNF2
Ga0531460_000210	F762_SNF2
Ga0531460_000219	Twinkle
Ga0531460_000220	SNF2
Ga0531460_000230	DnaB
Ga0531460_000243	H762
Ga0531460_000247	L762_PcrA
Ga0531460_000255	UvrB
Ga0531460_000259	Y762_A438_Gp4
Ga0531460_000274	H762
Ga0531460_000280	Gp41
Ga0531460_000281	P438_Gp4
Ga0531460_000285	DnaB
Ga0531460_000296	Twinkle
Ga0531460_000303	Y762_P438_Gp4
Ga0531460_000311	Y762_Gp4
Ga0531460_000315	L762_PcrA_SNF2
Ga0531460_000322	Twinkle
Ga0531460_000326	H762
Ga0531460_000335	L762_PcrA
Ga0531460_000336	SNF2
Ga0531460_000344	Y762_Gp4
Ga0531460_000362	H762
Ga0531460_000368	A438
Ga0531460_000370	UvrD_SNF2
Ga0531460_000374	DnaB
Ga0531460_000376	Gp4
Ga0531460_000380	PcrA_SNF2
Ga0531460_000398	P438
Ga0531460_000404	L762_PcrA
Ga0531460_000405	Gp4
Ga0531460_000406	SNF2
Ga0531460_000407	SNF2
Ga0531460_000410	A438_Gp4
Ga0531460_000416	L762_UvrD
Ga0531460_000418	A438
Ga0531460_000424	UvsW
Ga0531460_000427	UvsW
Ga0531460_000440	L762_PcrA_SNF2
Ga0531460_000468	A438
Ga0531460_000470	P438
Ga0531460_000475	P438_Gp41
Ga0531460_000478	Y762_P438
Ga0531460_000494	L762_PcrA_SNF2
Ga0531460_000495	DnaB
Ga0531460_000523	Gp4
Ga0531460_000526	A438
Ga0531460_000534	H762
Ga0531460_000539	L762
Ga0531460_000544	P438_DnaB_RecA
Ga0531460_000547	Y762_A438_Gp4
Ga0531460_000552	PcrA_SNF2
Ga0531460_000569	H762
Ga0531460_000571	DnaB
Ga0531460_000577	SNF2
Ga0531460_000588	L438
Ga0531460_000591	A438
Ga0531460_000594	L762
Ga0531460_000599	Y762_A438
Ga0531460_000612	SNF2
Ga0531460_000613	H762_RecD
Ga0531460_000615	L762_PcrA
Ga0531460_000616	DnaB
Ga0531460_000620	PcrA
Ga0531460_000634	DnaB
Ga0531460_000663	DnaB
Ga0531460_000665	P438
Ga0531460_000675	PcrA_SNF2
Ga0531461_000001	Gp41_RecA
Ga0531461_000003	L762_PcrA_SNF2
Ga0531461_000004	DnaB
Ga0531461_000007	SNF2
Ga0531461_000009	L762_PcrA_SNF2
Ga0531461_000012	SNF2
Ga0531461_000013	PcrA_SNF2
Ga0531461_000014	PcrA_SNF2
Ga0531461_000016	PcrA_SNF2
Ga0531461_000022	L762_SNF2
Ga0531461_000025	DnaB
Ga0531461_000036	P438
Ga0531461_000045	L762_SNF2
Ga0531461_000049	L762
Ga0531461_000055	SNF2
Ga0531461_000059	DnaB
Ga0531461_000073	F762
Ga0531461_000081	RecD
Ga0531461_000085	PcrA_SNF2
Ga0531461_000088	F762_SNF2
Ga0531461_000101	RecD
Ga0531461_000135	L762_PcrA_SNF2
Ga0531461_000137	Y762
Ga0531461_000141	F762
Ga0531461_000149	H762
Ga0531461_000184	UvrB
Ga0531461_000202	Y762_Gp4
Ga0531461_000222	SNF2
Ga0531461_000245	A438
Ga0531461_000253	Gp4
Ga0531461_000258	L762
Ga0531461_000261	H762
Ga0531461_000286	SNF2
Ga0531462_000001	L762_PcrA_SNF2
Ga0531462_000003	L762_PcrA_SNF2
Ga0531462_000004	F762
Ga0531462_000006	L762_PcrA_SNF2
Ga0531462_000007	DnaB
Ga0531462_000009	H762_L438
Ga0531462_000010	H762_L438
Ga0531462_000011	PcrA_SNF2
Ga0531462_000012	PcrA_SNF2
Ga0531462_000016	DnaB
Ga0531462_000018	DnaB
Ga0531462_000020	DnaB
Ga0531462_000024	SNF2
Ga0531462_000026	UvrD_SNF2
Ga0531462_000029	H762
Ga0531462_000036	SNF2
Ga0531462_000038	F762_P438_Gp41_RecA
Ga0531462_000042	H762
Ga0531462_000046	Y762_Gp4
Ga0531462_000049	F762_SNF2
Ga0531462_000056	H762_L438
Ga0531462_000059	Twinkle
Ga0531462_000066	F762_SNF2
Ga0531462_000081	Twinkle
Ga0531462_000089	A438
Ga0531462_000105	P438
Ga0531462_000106	DnaB
Ga0531462_000110	Gp4
Ga0531462_000112	A438
Ga0531462_000116	DnaB
Ga0531462_000118	H762_L438
Ga0531462_000119	DnaB
Ga0531462_000122	L762_SNF2
Ga0531462_000123	SNF2
Ga0531462_000131	F762_SNF2
Ga0531462_000137	L762_SNF2
Ga0531462_000143	L762_PcrA_SNF2
Ga0531462_000147	DnaB
Ga0531462_000151	DnaB
Ga0531462_000156	SNF2
Ga0531462_000158	SNF2
Ga0531462_000166	L762_PcrA_SNF2
Ga0531462_000168	H762_RecD
Ga0531462_000177	SNF2
Ga0531462_000185	L762
Ga0531462_000193	L762_PcrA
Ga0531462_000194	F762_SNF2
Ga0531462_000196	UvrB
Ga0531462_000202	SNF2
Ga0531462_000217	H762_L438
Ga0531462_000220	L762_PcrA
Ga0531462_000229	F762_SNF2
Ga0531462_000232	SNF2
Ga0531462_000242	P438
Ga0531462_000245	PcrA
Ga0531462_000248	DnaB
Ga0531462_000255	H762
Ga0531462_000264	L762_PcrA
Ga0531462_000273	SNF2
Ga0531462_000280	PcrA_SNF2
Ga0531462_000284	Y762_P438
Ga0531462_000286	A438
Ga0531462_000300	L762_PcrA
Ga0531462_000302	Gp4
Ga0531462_000306	L762_PcrA_SNF2
Ga0531462_000309	RecD
Ga0531462_000322	P438
Ga0531462_000337	L762_PcrA
Ga0531462_000348	L762_PcrA
Ga0531462_000353	Y762_Gp4
Ga0531462_000360	DnaB
Ga0531462_000371	L762_UvrD
Ga0531462_000374	RecG
Ga0531462_000375	F762
Ga0531462_000376	Y762_P438_Gp4
Ga0531462_000379	SNF2
Ga0531462_000388	L762_SNF2
Ga0531462_000389	L762_PcrA
Ga0531462_000409	DnaB
Ga0531462_000434	H762
Ga0531462_000438	L762_PcrA
Ga0531462_000439	DnaB
Ga0531462_000440	L762_PcrA_SNF2
Ga0531462_000450	Gp4
Ga0531462_000465	DnaB
Ga0531462_000466	SNF2
Ga0531462_000473	P438
Ga0531462_000490	L762_PcrA
Ga0531462_000499	Twinkle
Ga0531462_000503	DnaB
Ga0531462_000522	SNF2
Ga0531462_000527	Gp4
Ga0531462_000538	DnaB
Ga0531462_000540	A438_DnaB
Ga0531462_000546	P438
Ga0531462_000556	Twinkle
Ga0531462_000570	F762_A438_DnaB
Ga0531462_000576	L762
Ga0531462_000580	UvrD_SNF2
Ga0531462_000588	UvsW
Ga0531462_000593	P438
Ga0531462_000597	Y762_P438
Ga0531462_000603	DnaB
Ga0531462_000616	L762_PcrA_SNF2
Ga0531462_000620	SNF2
Ga0531462_000629	P438
Ga0531462_000638	L762_PcrA_SNF2
Ga0531462_000652	SNF2
Ga0531462_000656	L762_PcrA_SNF2
Ga0531462_000666	L762
Ga0531462_000683	P438
Ga0531462_000684	F762
Ga0531462_000686	SNF2
Ga0531462_000689	Y762_P438_Gp4
Ga0531462_000694	L762_PcrA_SNF2
Ga0531462_000704	L762_PcrA_SNF2
Ga0531462_000717	PcrA_SNF2
Ga0531462_000721	L762_PcrA
Ga0531462_000725	L762_SNF2
Ga0531462_000746	Gp4
Ga0531462_000764	L762_PcrA
Ga0531462_000771	L762_PcrA
Ga0531462_000772	SNF2
Ga0531462_000777	DnaB
Ga0531462_000809	SNF2
Ga0531462_000814	L762_PcrA_SNF2
Ga0531462_000823	PcrA
Ga0531462_000837	L762
Ga0531463_000001	UvsW
Ga0531463_000003	DnaB
Ga0531463_000005	L762_UvrD_SNF2
Ga0531463_000011	H762_RecD
Ga0531463_000013	DnaB
Ga0531463_000015	SNF2
Ga0531463_000021	F762
Ga0531463_000031	F762_RecA
Ga0531463_000036	F762
Ga0531463_000037	Y762_P438_Gp4
Ga0531463_000038	RecD
Ga0531463_000046	F762
Ga0531463_000049	Y762_P438_Gp4
Ga0531463_000062	SNF2
Ga0531463_000064	UvsW
Ga0531463_000088	DnaB
Ga0531463_000090	L762_SNF2
Ga0531463_000100	L762
Ga0531463_000105	P438_RecA
Ga0531463_000108	SNF2
Ga0531463_000117	Y762
Ga0531463_000124	L762
Ga0531463_000134	Twinkle
Ga0531464_000001	SNF2
Ga0531464_000002	PcrA_SNF2
Ga0531464_000004	L762_PcrA_SNF2
Ga0531464_000005	L762_PcrA_SNF2
Ga0531464_000010	F762_P438_DnaB
Ga0531464_000015	F762
Ga0531464_000016	DnaB
Ga0531464_000018	Y762_A438_Gp4
Ga0531464_000022	DnaB
Ga0531464_000024	UvsW
Ga0531464_000025	Y762_P438_Gp4
Ga0531464_000026	Y762_P438_Gp4
Ga0531464_000028	SNF2
Ga0531464_000029	H762_L438
Ga0531464_000030	RecG
Ga0531464_000034	F762
Ga0531464_000041	DnaB
Ga0531464_000042	DnaB
Ga0531464_000043	SNF2
Ga0531464_000045	L762_SNF2
Ga0531464_000046	Twinkle
Ga0531464_000049	F762_SNF2
Ga0531464_000050	L762_SNF2
Ga0531464_000054	SNF2
Ga0531464_000055	UvrD_SNF2
Ga0531464_000058	L762_SNF2
Ga0531464_000059	DnaB
Ga0531464_000060	F762_Gp41
Ga0531464_000065	L762
Ga0531464_000066	DnaB
Ga0531464_000071	RecB_SNF2
Ga0531464_000073	SNF2
Ga0531464_000075	P438
Ga0531464_000078	H762_RecD
Ga0531464_000079	L762_PcrA_SNF2
Ga0531464_000083	UvsW_Twinkle
Ga0531464_000084	I438_Gp4
Ga0531464_000089	F762_SNF2
Ga0531464_000094	Gp4
Ga0531464_000098	P438
Ga0531464_000099	SNF2
Ga0531464_000100	DnaB
Ga0531464_000106	L762_PcrA_SNF2
Ga0531464_000107	H762_L438
Ga0531464_000111	P438
Ga0531464_000114	F762_SNF2
Ga0531464_000115	Y762
Ga0531464_000117	Gp4
Ga0531464_000118	Y762_L438_Gp4
Ga0531464_000123	DnaB
Ga0531464_000126	DnaB
Ga0531464_000128	SNF2
Ga0531464_000130	L762_PcrA_SNF2
Ga0531464_000131	L762_PcrA_SNF2
Ga0531464_000136	DnaB
Ga0531464_000146	Y762_L438_Gp4
Ga0531464_000147	Gp4
Ga0531464_000150	SNF2_DnaB
Ga0531464_000151	DnaB
Ga0531464_000154	DnaB
Ga0531464_000155	Y762_P438_Gp4
Ga0531464_000158	L762_PcrA_SNF2
Ga0531464_000163	F762_DnaB
Ga0531464_000165	Gp4
Ga0531464_000173	SNF2
Ga0531464_000175	P438
Ga0531464_000176	RecB_SNF2
Ga0531464_000186	SNF2
Ga0531464_000188	Gp4
Ga0531464_000195	Y762_P438_Gp4
Ga0531464_000197	F762
Ga0531464_000198	SNF2
Ga0531464_000206	UvrB
Ga0531464_000208	P438_SNF2_Twinkle
Ga0531464_000211	DnaB
Ga0531464_000214	L762
Ga0531464_000215	RecD
Ga0531464_000216	L762_SNF2
Ga0531464_000225	DnaB
Ga0531464_000227	L762_PcrA_SNF2
Ga0531464_000239	F762_SNF2
Ga0531464_000241	H762
Ga0531464_000249	F762_DnaB
Ga0531464_000253	DnaB
Ga0531464_000258	F762_SNF2
Ga0531464_000260	F762_DnaB
Ga0531464_000266	DnaB
Ga0531464_000267	Y762_P438_Gp4
Ga0531464_000277	H762
Ga0531464_000278	DnaB
Ga0531464_000279	Gp4
Ga0531464_000280	L762_UvrD_SNF2
Ga0531464_000282	Y762_L438_Gp4
Ga0531464_000284	DnaB
Ga0531464_000288	DnaB
Ga0531464_000291	F762
Ga0531464_000292	A438
Ga0531464_000303	Gp4
Ga0531464_000316	DnaB
Ga0531464_000317	Y762_P438_Gp4
Ga0531464_000321	SNF2
Ga0531464_000325	DnaB
Ga0531464_000328	L762
Ga0531464_000337	L762_PcrA_SNF2
Ga0531464_000338	SNF2
Ga0531464_000345	L762_SNF2
Ga0531464_000346	DnaB
Ga0531464_000350	F762
Ga0531464_000356	F762
Ga0531464_000364	L762_PcrA_SNF2
Ga0531464_000370	DnaB
Ga0531464_000374	PcrA_SNF2
Ga0531464_000390	I438
Ga0531464_000398	F762_Gp41_RecA
Ga0531464_000399	DnaB
Ga0531464_000403	L762_UvrD_SNF2
Ga0531464_000411	DnaB
Ga0531464_000415	Y762_Gp4
Ga0531464_000423	SNF2
Ga0531464_000424	L762
Ga0531464_000436	Y762_L438_Gp4
Ga0531464_000438	SNF2
Ga0531464_000443	L762
Ga0531464_000446	L762
Ga0531464_000457	L762_PcrA
Ga0531464_000459	PcrA
Ga0531464_000483	P438
Ga0531464_000490	H762_L438
Ga0531464_000491	DnaB
Ga0531464_000492	SNF2
Ga0531464_000498	F762_SNF2
Ga0531464_000499	F762_DnaB
Ga0531464_000509	SNF2
Ga0531464_000510	RecB_DnaB
Ga0531464_000519	Y762_L438_Gp4
Ga0531464_000521	L762_PcrA_SNF2
Ga0531464_000529	Y762_A438_Gp4
Ga0531464_000532	L762_PcrA
Ga0531464_000536	L762
Ga0531464_000551	DnaB
Ga0531464_000554	SNF2
Ga0531464_000555	DnaB
Ga0531464_000557	SNF2
Ga0531464_000562	Gp4
Ga0531464_000563	DnaB
Ga0531464_000568	SNF2
Ga0531464_000576	L762
Ga0531464_000578	Gp4
Ga0531464_000594	Gp4
Ga0531464_000595	SNF2
Ga0531464_000620	Y762_L438_Gp4
Ga0531464_000624	SNF2
Ga0531464_000626	F762_DnaB_RecA
Ga0531464_000629	L762_PcrA
Ga0531464_000642	F762_RecA
Ga0531464_000646	SNF2_DnaB
Ga0531464_000647	Gp4
Ga0531464_000650	P438
Ga0531464_000653	L762
Ga0531464_000654	Gp4
Ga0531464_000680	SNF2
Ga0531464_000689	L762_PcrA
Ga0531464_000717	PcrA_SNF2
Ga0531464_000723	Y762_P438_Gp4
Ga0531464_000739	L762_SNF2
Ga0531464_000744	L762_PcrA
Ga0531464_000749	L762_PcrA
Ga0531464_000762	SNF2
Ga0531464_000765	L762_UvrD
Ga0531464_000808	Y762_Gp4
Ga0531464_000812	L762_UvrD
Ga0531464_000813	DnaB
Ga0531464_000817	Y762_Gp4
Ga0531464_000824	UvsW
Ga0531464_000840	Y762_A438_Gp4
Ga0531464_000845	P438
Ga0531464_000847	H762
Ga0531464_000848	PcrA_SNF2
Ga0531464_000856	L762
Ga0531464_000865	Y762_L438_Gp4
Ga0531464_000871	P438
Ga0531464_000876	L762_PcrA
Ga0531464_000878	P438
Ga0531464_000894	SNF2
Ga0531464_000899	L762
Ga0531464_000906	Y762_P438_Gp4
Ga0531464_000907	SNF2
Ga0531464_000909	F762
Ga0531464_000929	L762
Ga0531464_000932	PcrA_SNF2
Ga0531464_000935	F762
Ga0531464_000945	UvsW
Ga0531464_000961	P438
Ga0531464_000969	L762_PcrA
Ga0531464_000975	UvrB
Ga0531464_000976	SNF2
Ga0531464_000985	SNF2
Ga0531464_001005	L762_PcrA
Ga0531464_001008	DnaB
Ga0531464_001015	Y762_A438_Gp4
Ga0531464_001023	Gp4
Ga0531464_001030	L762_PcrA
Ga0531464_001036	Gp4
Ga0531464_001037	L762_PcrA_SNF2
Ga0531464_001038	SNF2
Ga0531464_001039	Y762_L438_Gp4
Ga0531464_001042	PcrA_SNF2
Ga0531464_001043	SNF2
Ga0531464_001047	P438
Ga0531464_001057	L762
Ga0531464_001064	L762_PcrA
Ga0531464_001066	Gp4
Ga0531464_001071	SNF2
Ga0531464_001078	Y762_Gp4
Ga0531464_001080	SNF2
Ga0531464_001087	Y762_L438_Gp4
Ga0531464_001088	SNF2
Ga0531464_001089	SNF2
Ga0531464_001094	F762_P438_Gp41
Ga0531464_001095	P438_DnaB_RecA
Ga0531464_001108	Twinkle
Ga0531464_001110	H762
Ga0531464_001120	L762_PcrA_SNF2
Ga0531464_001122	DnaB
Ga0531464_001133	L762_PcrA_SNF2
Ga0531464_001134	H762_RecD
Ga0531464_001142	L762
Ga0531464_001143	SNF2
Ga0531464_001149	SNF2
Ga0531464_001171	Gp4
Ga0531464_001172	H762_RecD
Ga0531464_001179	P438
Ga0531464_001195	SNF2
Ga0531464_001196	H762_L438
Ga0531464_001204	L762
Ga0531464_001212	F762
Ga0531464_001215	Y762_L438_Gp4
Ga0531464_001216	L762
Ga0531464_001230	SNF2
Ga0531464_001238	Y762_SNF2
Ga0531464_001240	PcrA_SNF2
Ga0531464_001241	L762_PcrA
Ga0531464_001245	Gp41
Ga0531464_001248	L762_PcrA
Ga0531464_001251	Y762_P438_Gp4
Ga0531464_001253	RecA
Ga0531464_001259	PcrA
Ga0531464_001266	Y762_Gp4
Ga0531464_001276	SNF2
Ga0531464_001278	UvsX
Ga0531464_001289	PcrA_SNF2
Ga0531464_001293	L762
Ga0531464_001304	L762_SNF2
Ga0531464_001305	F762_DnaB
Ga0531464_001317	Gp4
Ga0531464_001325	Y762_P438_Gp4
Ga0531464_001350	F762_A438_Gp4
Ga0531464_001357	SNF2
Ga0531464_001365	SNF2
Ga0531464_001372	Gp4
Ga0531464_001403	L762
Ga0531464_001407	F762
Ga0531464_001409	L762_PcrA
Ga0531464_001428	SNF2
Ga0531464_001441	SNF2
Ga0531464_001454	SNF2
Ga0531464_001475	DnaB
Ga0531464_001477	H762
Ga0531464_001485	L762_RecB
Ga0531464_001488	L762_PcrA
Ga0531464_001493	SNF2
Ga0531464_001498	DnaB
Ga0531464_001501	Gp4
Ga0531464_001508	L762
Ga0531464_001519	UvsW
Ga0531464_001530	Y762_Gp4
Ga0531464_001539	F762
Ga0531464_001552	L762_PcrA
Ga0531464_001559	SNF2
Ga0531464_001566	PcrA
Ga0531464_001583	RecB
Ga0531464_001586	DnaB
Ga0531465_000002	Gp4
Ga0531465_000005	DnaB
Ga0531465_000007	Gp4
Ga0531465_000008	DnaB
Ga0531465_000009	Y762_P438_Gp4
Ga0531465_000011	DnaB
Ga0531465_000013	DnaB
Ga0531465_000015	H762_SNF2
Ga0531465_000018	PcrA_SNF2
Ga0531465_000021	DnaB
Ga0531465_000023	F762
Ga0531465_000026	P438_Gp4
Ga0531465_000031	DnaB
Ga0531465_000035	SNF2_DnaB
Ga0531465_000039	H762
Ga0531465_000040	RecD
Ga0531465_000045	DnaB
Ga0531465_000046	DnaB
Ga0531465_000050	F762_A438_Gp4
Ga0531465_000057	SNF2
Ga0531465_000058	UvrD
Ga0531465_000061	H762
Ga0531465_000068	H762
Ga0531465_000069	F762
Ga0531465_000074	Y762_Gp4
Ga0531465_000077	SNF2
Ga0531465_000080	PcrA
Ga0531465_000086	PcrA
Ga0531465_000091	L438
Ga0531465_000092	SNF2
Ga0531465_000121	L762_PcrA
Ga0531465_000150	Y762_L438_Gp4
Ga0531465_000152	F762_Gp41
Ga0531465_000169	Gp4
Ga0531465_000171	L762_PcrA_SNF2
Ga0531465_000172	L762_PcrA_SNF2
Ga0531465_000174	SNF2
Ga0531465_000175	DnaB
Ga0531465_000191	F762
Ga0531465_000196	SNF2
Ga0531465_000204	DnaB
Ga0531465_000220	SNF2_Twinkle
Ga0531465_000224	L762_PcrA
Ga0531465_000227	F762
Ga0531465_000236	F762
Ga0531465_000239	Gp4
Ga0531465_000242	DnaB
Ga0531465_000263	DnaB
Ga0531465_000271	H762_RecD
Ga0531465_000272	UvrB
Ga0531465_000302	SNF2
Ga0531465_000303	UvsW
Ga0531465_000304	F762
Ga0531465_000308	DnaB
