ID	enriched_cb_chain	Syntenome
Ga0531456_000460	(25589_244559_134637, 51514_212335_55613, 55613_134637_244559, 134637_55613_212335, 212335_51514_223182)	45
Ga0531456_000462	(13929_53365_60994, 37368_42156_193134, 42156_193134_236211, 92161_175512_93602)	16
Ga0531456_000464	(60721_159420_153060, 84861_153060_159420, 102932_60721_159420)	10
Ga0531456_000466	(24476_68014_187235, 68014_187235_123878, 151335_123878_187235)	69
Ga0531456_000468	(37716_243013_149172, 75847_134855_143486, 75847_200959_151700, 134855_75847_200959, 149172_151700_200959, 151700_149172_243013)	41
Ga0531456_000471	(32788_75854_74843, 32788_123936_244613, 74843_228345_92238, 75854_32788_123936, 75854_74843_228345)	59
Ga0531456_000472	(2821_240332_151710, 64046_191972_102725, 202706_151710_240332)	49
Ga0531456_000473	(55530_75750_75749, 75750_55530_75751)	75
Ga0531456_000476	(20901_55325_228322, 20901_170518_107809, 47393_60443_149396, 55325_20901_170518, 60443_149396_107809, 149396_107809_170518)	2
Ga0531456_000478	(74666_188881_193399, 188880_193399_188881, 193399_188880_243446)	36
Ga0531456_000481	()	0
Ga0531456_000485	(76590_133484_133756, 133484_76590_159268)	50
Ga0531456_000487	(114_216487_149108, 396_149108_216487, 149108_396_172588)	0
Ga0531456_000488	(32788_75854_74843, 37925_151736_151389, 74843_185850_202356, 75854_32788_123936, 75854_74843_185850, 151736_151389_202356)	59
Ga0531456_000489	(24469_93229_75782)	34
Ga0531456_000491	(55530_75750_75749, 75750_55530_75751)	75
Ga0531456_000493	(3402_201098_212647, 28501_55098_75157, 28501_187028_211164, 55098_28501_187028, 134399_211164_187028, 202068_193852_244740)	33
Ga0531456_000494	(42156_134824_193134)	1
Ga0531456_000496	(64088_91106_201341, 64089_201341_91106)	77
Ga0531456_000498	(89786_112490_223492)	67
Ga0531456_000504	(68384_212691_195299, 212691_195299_229008)	56
Ga0531456_000505	(59400_195724_219434)	49
Ga0531456_000506	(37173_244577_80818, 143026_37173_244577)	34
Ga0531456_000507	(55501_211508_211526, 84800_211526_211508, 195163_55501_211508)	38
Ga0531456_000510	(144349_92161_175512)	0
Ga0531456_000516	(51875_238818_149549, 92161_76380_228210, 144349_51875_238818)	16
Ga0531456_000521	(50852_68990_107331, 68990_50852_244729)	32
Ga0531456_000523	(73087_188210_216675, 80551_73087_188210)	61
Ga0531456_000526	(13929_105054_199169, 13929_236162_151493, 22707_243533_193134, 42156_193134_243533, 76380_92161_144349, 92161_76380_93602, 92161_144349_244445, 105054_13929_236162, 105054_199169_244445, 144349_244445_199169, 229422_93313_229422)	16
Ga0531456_000528	(20448_228452_22031, 28704_80583_122153, 28704_240122_60804, 50308_60804_240122, 80583_28704_240122, 176368_22031_228452)	58
Ga0531456_000529	(3402_201098_32480, 3402_212511_75530, 28503_32480_201098, 56138_60272_243847, 56138_122194_156327, 60272_56138_122194, 60272_243847_173810, 75216_210806_80185, 75530_173810_243847, 107276_151517_122598, 122194_156327_122598, 151517_122598_156327, 173810_75530_212511, 199344_75216_210806, 201098_3402_212511)	33
Ga0531456_000530	(32601_190390_76157, 112994_53302_172592, 172592_76157_190390)	0
Ga0531456_000532	(37925_151736_151389, 51696_123936_188809, 74843_75854_188809, 75854_188809_123936, 151736_37925_212076, 151736_151389_202356)	59
Ga0531456_000537	(42156_134824_193134, 42156_156493_93518, 68071_151332_93518, 134824_42156_156493, 151332_68071_188553, 151332_93518_156493, 156323_210221_238571)	1
Ga0531456_000541	(17365_144617_122939, 17365_202778_185588, 50246_59531_115091, 134804_185588_202778, 144617_17365_202778)	1
Ga0531456_000542	(3402_201098_212647, 3402_212511_188849, 22601_173810_188849, 22601_202131_60272, 56138_60272_202131, 75157_212647_201098, 173810_22601_202131, 173810_188849_212511, 201098_3402_212511)	33
Ga0531456_000543	(37368_42156_193134, 42156_37368_243824, 42156_193134_167932, 122939_195007_243606, 195007_243606_204770)	16
Ga0531456_000544	(473_51047_149479, 51047_149479_211339)	67
Ga0531456_000545	(13929_105054_244445, 13929_236162_201606, 42156_193134_243533, 42221_243533_193134, 105054_13929_236162, 151493_201606_236162)	16
Ga0531456_000546	(112046_145375_202138, 145375_112046_238503)	23
Ga0531456_000548	(6823_211656_80868, 6823_243844_151631, 80868_92788_134231, 84087_134231_92788, 92788_80868_211656, 107278_151631_243844, 211656_6823_243844)	25
Ga0531456_000549	(114_72260_169179, 9162_20540_80897)	0
Ga0531456_000552	(75218_57980_133343)	25
Ga0531456_000553	(24169_80185_53914, 28498_101566_151496, 32482_28498_101566, 56138_212509_156327, 60272_56138_212509, 122190_156320_223738)	33
Ga0531456_000554	(809_240177_240176)	78
Ga0531456_000557	(73087_188210_216675)	61
Ga0531456_000558	(809_240177_240176)	78
Ga0531456_000560	(92161_76380_93602)	16
Ga0531456_000562	(22405_75854_201005, 75854_201005_123936)	67
Ga0531456_000563	(22412_202299_24667, 22414_193214_32594, 32594_193215_153014, 153014_202297_201425, 193214_32594_193215, 193215_153014_202297)	52
Ga0531456_000564	(24309_24310_112743, 24309_24310_211469, 24310_24309_24310, 24310_211469_64098, 56869_64098_211469, 64097_229009_134181, 212690_64097_229009)	56
Ga0531456_000566	(20411_47175_47174, 47174_143486_134855, 47175_47174_143486, 75847_134855_143486, 75847_200959_151700, 134855_75847_200959)	41
Ga0531456_000567	(75743_92429_107731)	49
Ga0531456_000569	(9956_80982_243824, 20165_193134_42156, 20165_228768_53364, 42156_75856_243824, 75856_42156_193134, 75856_243824_80982, 133941_238571_228515, 142369_228515_238571, 193134_20165_228768)	52
Ga0531456_000571	(13644_51562_134186, 51562_134186_134185, 104605_134185_134186)	0
Ga0531456_000574	(122830_111943_151465, 234857_188494_236336)	1
Ga0531456_000575	(4952_204862_131943, 204862_4952_240465)	36
Ga0531456_000576	(3402_201098_32480, 3402_212511_188849, 28503_32480_201098, 56138_60272_243847, 56138_212509_122314, 60272_56138_212509, 60272_243847_173810, 173810_188849_212511, 188849_173810_243847, 201098_3402_212511)	33
Ga0531456_000577	(68734_223552_185567, 229095_153061_244852)	10
Ga0531456_000579	(234857_188494_236336)	1
Ga0531456_000582	(114_32339_149108, 114_243522_55179, 396_172588_159763, 396_236157_149108, 32339_114_243522, 32601_159763_172588, 55179_68126_123491, 68126_55179_243522, 68126_123491_236162, 172588_396_236157)	0
Ga0531456_000585	(42156_134824_193134, 42191_193134_134824, 133886_42191_193134, 134824_42156_156493)	1
Ga0531456_000590	(24768_80765_234857, 80765_234857_144989, 122939_144617_144989, 144617_144989_234857, 193134_134824_210425, 213054_243823_243824)	1
Ga0531456_000593	(32833_202714_219678, 32833_207497_207496, 202714_32833_207497)	41
Ga0531456_000594	(38980_74132_74131, 55529_20622_84701)	75
Ga0531456_000595	(17365_53610_238346, 17365_144617_236437, 32634_42156_193134, 32634_243824_68071, 42156_32634_243824, 53610_17365_144617)	0
Ga0531456_000596	(28508_211513_211512, 210728_211512_211513, 211512_210728_219885, 211513_28508_219886)	38
Ga0531456_000597	(76380_92161_144349, 92161_144349_244445)	0
Ga0531456_000601	(92161_144349_244445, 92161_175512_142274, 144306_185068_244445, 144349_244445_185068)	16
Ga0531456_000603	(75847_134855_143486, 75847_200959_151700, 134855_75847_200959)	41
Ga0531456_000606	(24169_80185_210806, 28498_32482_122190, 28498_101566_53950, 32482_28498_101566, 32482_122190_156320, 38781_75216_210806, 64796_84179_223738, 75216_210806_80185, 84179_223738_156320, 122190_156320_223738)	33
Ga0531456_000608	(17365_234857_80765, 24768_80765_234857)	1
Ga0531456_000613	(47180_59828_212517)	41
Ga0531456_000620	(24518_216882_60903, 216882_24518_244535)	41
Ga0531456_000622	(3402_201098_212647, 3402_212511_188849, 53951_201567_212647, 173810_188849_212511, 201098_3402_212511, 201098_212647_201567)	33
Ga0531456_000631	(101439_151700_200959, 151700_101439_243013)	41
Ga0531456_000633	(38949_128744_74223, 128744_38949_176368)	58
Ga0531456_000639	(22659_24476_68014, 24476_68014_187235, 68014_187235_123878, 151335_123878_187235)	69
Ga0531456_000640	(59307_59308_107392, 59307_193402_213086, 59308_59307_193402, 133234_213086_193402)	58
Ga0531456_000641	(37246_210186_212520, 42156_156493_93518, 42156_210425_134824, 64083_93518_156493, 68071_64083_93518, 134824_193134_149422, 156493_42156_210425, 193134_134824_210425, 193134_149422_212520)	1
Ga0531456_000642	(32601_190390_76157, 112994_53302_172592, 172592_76157_190390)	0
Ga0531456_000644	(112532_195130_134399)	67
Ga0531456_000646	(37368_42156_193134, 42156_193134_243533, 193134_243533_243604)	16
Ga0531456_000649	(89786_112490_223492)	67
Ga0531456_000651	(68213_107283_135096, 143957_151681_156580)	9
Ga0531456_000653	(89786_112490_223492)	67
Ga0531456_000654	(202174_80481_238278)	17
Ga0531456_000660	(55207_55206_201341)	79
Ga0531456_000662	(37654_134164_112244, 76749_149029_112244, 134164_112244_149029)	56
Ga0531456_000664	(3402_201098_28503, 3402_212511_188849, 28503_32359_75157, 32018_210578_107276, 32359_28503_201098, 56138_60272_188849, 56138_212509_156327, 60272_56138_212509, 60272_188849_212511, 156327_32018_210578, 201098_3402_212511)	33
Ga0531456_000665	(34332_149131_100076, 112128_104489_175512)	10
Ga0531456_000666	(24310_112743_134181, 64097_229009_134181, 212690_64097_229009)	56
Ga0531456_000668	(13644_51562_134186, 24669_50405_92438, 51562_13644_240436, 51562_134186_134185, 104605_134185_134186)	0
Ga0531456_000673	(80554_201341_228504, 107025_24736_216675, 144170_228504_201341)	61
Ga0531456_000676	(3552_134637_60674, 51514_212335_60674, 212335_51514_223182)	45
Ga0531456_000678	(3957_212202_50832, 38808_74355_193869, 50832_153237_212205, 74355_193869_107385, 107385_212205_153237, 153237_50832_212202, 193869_107385_212205, 195150_3957_212202)	68
Ga0531456_000680	(38949_128744_84138, 50029_151583_101390, 50308_84138_128744, 50308_104812_68100, 84138_50308_104812)	58
Ga0531456_000683	(107769_20564_115091)	1
Ga0531456_000684	(76749_149029_112244)	56
Ga0531456_000685	(142564_142565_142566, 142657_156103_176145)	38
Ga0531456_000688	(20597_123819_123818)	29
Ga0531456_000691	(477_193775_201053, 176577_481_219615, 193775_201053_193776)	67
Ga0531456_000692	(37925_151389_151736, 134399_151736_151389)	67
Ga0531456_000694	(234857_188494_236336)	1
Ga0531456_000696	(13929_144306_185068, 42156_193134_243533, 144306_185068_244445, 144349_244445_185068)	16
Ga0531456_000704	(56505_84933_156875, 56505_142588_156769, 74759_156875_84933, 84933_56505_142588, 93269_149131_210645, 142588_156769_210645, 149131_210645_156769)	10
Ga0531456_000705	(32497_2981_74905, 75727_42062_207465)	0
Ga0531456_000707	(20517_234024_107336, 169143_20517_234024)	80
Ga0531456_000708	(17365_202778_185588, 115091_236275_185588, 144617_17365_202778, 202778_185588_236275)	1
Ga0531456_000709	(134647_176032_240181)	68
Ga0531456_000710	(80554_201341_228504, 107025_24736_216675)	61
Ga0531456_000714	(13929_53365_193501, 13929_144306_80238, 53365_13929_144306, 84202_193892_244445, 144306_80238_244445, 144349_84202_193892)	16
Ga0531456_000717	(20167_75937_144617, 50227_236437_144617, 75937_20167_236281, 75937_144617_236437, 84124_50227_236437)	8
Ga0531456_000721	(104489_236268_195010)	10
Ga0531456_000724	(37925_151389_151736, 151389_151736_202356)	67
Ga0531456_000725	(56031_123943_144324, 60095_134610_144032, 60095_195003_173754, 123942_56031_123943, 134610_60095_195003)	19
Ga0531456_000730	(115091_3908_212533)	1
Ga0531456_000734	(112128_104489_175512)	10
Ga0531456_000735	(134219_156686_156685)	66
Ga0531456_000736	(89786_112490_223492, 112490_89786_176576)	67
Ga0531456_000738	(148_193134_42156, 156493_42156_193134)	16
Ga0531456_000740	(53773_53991_60274, 53773_213139_92500, 53991_53773_213139, 53991_60274_60275, 92500_123684_153196, 123684_92500_213139)	56
Ga0531456_000741	(17365_234857_80765, 24768_80765_234857, 144617_17365_234857)	1
Ga0531456_000751	(210221_76380_212587)	1
Ga0531456_000753	(68071_142084_223210, 80765_234857_144989, 122939_144617_144989, 122939_223210_142084, 144617_122939_223210, 144617_144989_234857, 172554_80765_234857)	1
Ga0531456_000758	(24309_24310_112743, 24309_24310_211469, 24310_24309_24310, 24310_112743_134181, 24310_211469_64098, 56869_64098_211469, 64097_229009_151500, 112743_134181_151500, 134181_151500_229009)	56
Ga0531456_000759	(114_159866_149108, 32601_159763_172588, 149108_176401_172588, 159763_32601_190390, 159763_172588_176401)	0
Ga0531456_000760	(32788_75854_74843, 32788_123936_244613, 74843_228345_92238, 75854_32788_123936, 75854_74843_228345, 202356_92238_228345)	59
Ga0531456_000769	(20167_75937_144617, 75937_20167_236281, 75937_144617_236437)	8
Ga0531456_000771	(17365_201753_122939, 37368_42156_193134, 37368_243824_201242, 42156_37368_243824, 42156_193134_243533, 42221_243533_193134, 122939_195007_243606, 195007_122939_201753, 195007_243606_204770, 201753_17365_234857, 204770_201242_243824)	16
Ga0531456_000772	(51913_153017_234735, 51913_236287_219738, 98850_196832_207323, 98850_234735_153017, 113647_216487_133948, 113647_219488_207323, 133948_219487_212522, 153017_51913_236287, 196832_98850_234735, 196832_207323_219488, 216487_113647_219488, 216487_133948_219487)	52
Ga0531456_000777	(75698_93553_123989, 75698_93554_93555, 75699_123989_93553, 93553_75698_93554)	68
Ga0531456_000778	(2821_240332_151710, 64046_191972_102725, 76873_151710_240332, 92429_102725_191972)	49
Ga0531456_000790	(75607_75608_201266, 75608_201266_92968)	66
Ga0531456_000796	(20167_236281_212118, 75937_20167_236281)	8
Ga0531456_000799	(37925_151736_151389, 74843_75854_188809, 75854_188809_123936, 151736_151389_202356)	59
Ga0531456_000804	(114_112319_149108, 9162_20540_80897, 24610_202235_185529)	0
Ga0531456_000808	(32833_202714_219678, 32833_207497_207496, 202714_32833_207497)	41
Ga0531456_000809	(92439_37599_92440, 172592_76157_190390)	0
Ga0531456_000812	(59981_101275_75983, 59981_101293_101292, 59983_75983_101275, 75983_59983_240043, 101275_59981_101293, 101293_101292_112022)	23
Ga0531456_000820	(51562_134186_134185, 92439_100411_92440, 100411_92440_199187, 104605_134185_134186)	0
Ga0531456_000822	(32497_2981_74905, 37537_240726_104803, 134299_37537_240726)	0
Ga0531456_000825	(100511_55426_223420)	45
Ga0531456_000827	(32833_202714_219678, 32833_207497_207496, 202714_32833_207497)	41
Ga0531456_000828	(216882_24518_244535)	41
Ga0531456_000829	(159408_149691_201641)	50
Ga0531456_000832	(114_216487_149108, 216487_149108_244551)	0
Ga0531456_000834	(166947_37173_244577, 244556_115024_244783)	34
Ga0531456_000835	(37074_25589_244559)	45
Ga0531456_000836	(17365_234857_188494, 234857_188494_236336)	1
Ga0531456_000838	(24169_80185_210806, 24824_101566_28498, 28498_32482_122190, 32482_28498_101566, 32482_122190_156320, 56138_122194_122598, 80185_24169_122192, 101566_24824_122192, 107276_210578_122598, 122190_156320_223738)	33
Ga0531456_000839	(17365_144617_122939, 17365_234857_80765, 42156_74536_243824, 42156_134824_193134, 74536_42156_134824, 122939_223210_142084, 144617_17365_234857, 144617_122939_223210)	1
Ga0531456_000841	(32018_210578_107276, 56138_60272_202131, 56138_122194_156327, 60272_56138_122194, 80185_93512_122192, 93512_80185_210806, 156327_32018_210578)	33
Ga0531456_000842	(13155_204949_56444, 32703_210601_144063, 84444_144063_210601, 84444_212101_102989, 144063_84444_212101, 212101_102989_212308)	78
Ga0531456_000846	(92161_76380_93602)	16
Ga0531456_000850	(56390_142567_142566, 102942_142564_168987, 142461_176145_156103, 142564_168987_142566)	38
Ga0531456_000852	(13929_144306_185068, 92161_175512_142274, 144306_185068_244445, 144349_244445_185068)	16
Ga0531456_000853	(115091_3908_212533)	1
Ga0531456_000855	(84124_100303_236437, 100303_236437_144617, 243422_243285_243824)	8
Ga0531456_000857	(3957_212202_50832, 153237_50832_212202)	68
Ga0531456_000859	(37925_151736_151389, 151736_151389_202356)	59
Ga0531456_000860	(75854_201005_123936)	67
Ga0531456_000861	(72260_114_229030)	0
Ga0531456_000866	(75927_75926_93197, 101141_101142_244337, 101141_151506_240870, 101142_101141_151506, 101142_244337_187275, 151506_240870_244335)	60
Ga0531456_000870	(101451_93138_212462)	63
Ga0531456_000876	(134824_193134_149422)	1
Ga0531456_000877	(24308_212690_64097, 24309_24310_112743, 24309_24310_211469, 24310_24309_24310, 24310_112743_134181, 64097_229009_134181, 212690_24308_229008, 212690_64097_229009)	56
Ga0531456_000878	(188809_123936_244613)	59
Ga0531456_000881	(149998_223794_228598)	50
Ga0531456_000883	(42156_193134_84623, 144349_84202_193892)	16
Ga0531456_000885	(151736_151389_202356)	59
Ga0531456_000886	(75750_55530_75751)	75
Ga0531456_000888	(851_37643_201370, 37643_201370_216735)	10
Ga0531456_000889	(28501_55098_75157, 28501_187028_211164, 55098_28501_187028, 134399_211164_187028, 202068_134399_211164)	33
Ga0531457_000003	(20517_169143_228537, 38691_75051_228537, 75051_38691_237832, 75051_228537_169143, 92139_151226_195624, 173589_228539_234632, 228539_234632_234631)	29
Ga0531457_000004	(4952_204862_131943, 74666_188881_193399, 112658_131943_204862, 188880_193399_188881, 193399_188880_243446)	36
Ga0531457_000005	(396_172588_159763, 32601_159763_172588, 134331_240726_135275, 149108_396_172588, 159763_32601_190390)	0
Ga0531457_000007	(68417_243088_235954, 112265_32703_144311, 211584_68417_243088)	68
Ga0531457_000008	(64357_185716_229451, 142446_202316_229451, 150780_64357_185716, 185716_229451_202316)	7
Ga0531457_000010	(20517_169143_228537, 75051_38691_237832, 92139_151226_195624, 173589_228539_234632, 228539_234632_234631)	29
Ga0531457_000014	(76503_112742_112741)	64
Ga0531457_000015	(17365_144617_122939, 17365_234857_80765, 24768_80765_234857, 32635_68071_151332, 32635_122939_144617, 37019_156323_210221, 37019_167968_37462, 42156_156493_93518, 42156_210425_134824, 68071_32635_122939, 68071_151332_93518, 134824_193134_149422, 144617_17365_234857, 151332_93518_156493, 156323_37019_167968, 156323_210221_238571, 156493_42156_210425, 193134_134824_210425)	1
Ga0531457_000016	(76503_112742_112741, 76503_188076_102468, 102468_112744_188078, 102469_188078_112744, 112742_76503_188076, 112742_112741_201116, 112744_102468_188076)	64
Ga0531457_000018	(2821_240332_151710, 75743_102725_191972, 143179_202706_202706, 202705_2821_240332, 202706_151710_240332)	49
Ga0531457_000025	(3585_216282_50878, 32172_53582_53582, 53582_53582_68915, 216279_20291_234688)	58
Ga0531457_000026	(37107_195078_240620)	53
Ga0531457_000027	(24245_51504_51029)	3
Ga0531457_000034	(2888_51379_185478, 50110_50110_50110, 50110_50110_80780, 51379_2888_219181, 68063_68821_84343)	10
Ga0531457_000035	(74666_188881_193399, 104457_219210_134089, 188880_193399_188881, 193399_188880_243446)	36
Ga0531457_000038	(851_37643_201370, 851_150396_93109, 37643_851_150396, 37643_201370_216735)	10
Ga0531457_000039	(134451_228598_223794, 149998_223794_228598, 151441_134451_228598, 159408_149691_201641)	50
Ga0531457_000041	(473_51047_149479, 51047_473_75694, 51047_149479_211339)	67
Ga0531457_000042	(9999_84127_75065)	7
Ga0531457_000043	(112265_32703_144311)	68
Ga0531457_000047	(55030_74972_104703, 55030_199271_55713, 74972_55030_199271, 74972_104703_199262, 104703_199262_236193, 104704_236193_199262, 143332_55713_199271)	68
Ga0531457_000054	(25255_25260_156360, 25255_159763_172588, 25260_25255_159763, 25260_156360_193587, 60443_195078_240620)	74
Ga0531457_000056	(37107_50380_134074, 37107_195078_240620, 50380_134074_170518)	53
Ga0531457_000060	(104812_68100_219893)	58
Ga0531457_000062	(851_216465_107846)	10
Ga0531457_000063	(37925_151389_202356)	67
Ga0531457_000065	(3799_84933_56505, 56505_100076_149131, 74759_3799_84933, 84933_56505_100076, 132064_167934_149712, 142525_172592_216877)	54
Ga0531457_000070	(156667_194941_226823, 184702_156667_194941, 194941_226823_215942)	8
Ga0531457_000071	(2821_240332_151710, 64046_143179_202706, 64046_191972_102725, 75743_92429_102725, 92429_102725_191972, 143179_64046_191972, 202705_2821_240332, 202706_151710_240332)	49
Ga0531457_000072	(28875_144616_210695, 84640_42251_238571, 144616_28875_202767, 242905_242906_244117)	7
Ga0531457_000076	(24492_32791_238510, 143883_80949_238510)	73
Ga0531457_000077	(2821_240332_151710, 75743_92429_102725, 76873_151710_240332, 92429_102725_191972, 202705_2821_240332)	49
Ga0531457_000079	(681_91115_59018, 681_240259_240258, 32176_240258_240259, 53991_59235_59236, 59018_682_59234, 59234_53991_59235)	5
Ga0531457_000080	(24492_24491_238510, 143883_80949_238510)	73
Ga0531457_000081	(38914_143451_201621, 38914_201504_244317, 56671_56672_210864, 56671_201503_201621, 56672_56671_201503, 56672_210864_56679, 143451_38914_201504, 143451_201621_201503)	48
Ga0531457_000088	(76675_186989_143066)	48
Ga0531457_000090	(22360_42153_243010, 42153_243010_56518)	51
Ga0531457_000094	(93448_93449_185129, 93448_156639_185128, 93449_93448_156639, 93449_185129_185130, 156638_185130_185129, 156639_185128_156640)	70
Ga0531457_000096	(75698_93553_123989, 75698_93554_93555, 75699_123989_93553, 93553_75698_93554, 93558_107365_171225)	68
Ga0531457_000101	(38832_143193_123936)	67
Ga0531457_000103	(37925_151389_202356, 75854_201005_123936)	67
Ga0531457_000105	(114_216487_149108, 20227_229014_107467, 32601_93383_172588, 93383_32601_190390)	0
Ga0531457_000106	(107556_238571_144558)	1
Ga0531457_000107	(80554_201341_228504, 144170_228504_201341)	61
Ga0531457_000108	(396_172588_159763, 172588_159763_190390)	0
Ga0531457_000112	(144558_238571_244117)	7
Ga0531457_000118	(151736_151389_202356)	59
Ga0531457_000119	(73087_188210_216675)	61
Ga0531457_000122	(60443_195078_240620)	74
Ga0531457_000123	(24245_51504_51029)	3
Ga0531457_000126	(74960_74669_212462)	63
Ga0531457_000127	(143026_75889_143821)	9
Ga0531457_000129	(37389_238801_238802, 101451_93138_212462)	63
Ga0531457_000130	(42156_210425_134824, 75465_47339_76380, 156493_42156_210425, 193134_134824_210425)	1
Ga0531457_000137	(76503_112742_112741, 76503_188076_102468, 102468_112744_188078, 102469_188078_112744, 112742_76503_188076, 112742_112741_201116, 112744_102468_188076)	64
Ga0531457_000138	(75743_92429_102725, 92429_75743_216356, 202705_2821_240332)	49
Ga0531457_000142	(75743_92429_102725, 92429_75743_143180)	49
Ga0531457_000150	(32943_193007_170518, 37107_50380_134074, 37107_195078_240620, 50380_134074_170518, 134074_170518_193007, 193007_32943_228322)	53
Ga0531457_000153	(20901_170518_107809, 47393_60443_149396, 55325_20901_170518, 60443_149396_107809, 149396_107809_170518, 195078_201465_234451, 236162_149089_240583)	2
Ga0531457_000156	(107848_223798_243148, 107848_238278_184713, 142290_184713_238278, 193436_243148_223798, 223798_107848_238278)	24
Ga0531457_000160	(114_134330_59522, 396_149108_28783, 396_172588_159763, 32601_159763_172588, 134331_240726_135275, 149108_396_172588)	0
Ga0531457_000163	(28680_212473_212472)	14
Ga0531457_000170	(50308_128744_122388, 59307_193402_213086, 59308_59307_193402)	58
Ga0531457_000174	(112532_195130_134399)	67
Ga0531457_000176	(47119_238278_80481, 234654_47119_238278)	17
Ga0531457_000178	(114_72260_169179, 13644_51562_17357)	0
Ga0531457_000181	(17365_144617_122939, 17365_234857_144203, 24768_101135_201011, 24768_144203_234857, 51986_104631_212533, 101135_24768_144203, 104631_212533_175625, 144617_17365_234857, 144617_122939_204770)	1
Ga0531457_000182	(176335_223175_199151)	45
Ga0531457_000184	(3799_84933_56505, 47440_50600_112211, 50600_47440_229073, 50600_112211_104489, 56505_100076_149131, 74759_3799_84933, 84933_56505_100076)	54
Ga0531457_000187	(396_172588_9139, 9139_32601_190390, 32601_9139_172588)	0
Ga0531457_000188	(37925_151736_151389, 74843_75854_159819, 74843_228345_92238, 75854_74843_228345, 75854_159819_123936, 92238_202356_151389, 151736_151389_202356, 202356_92238_228345)	59
Ga0531457_000193	(32943_193007_170518, 50380_134074_170518, 134074_170518_193007, 193007_32943_228322)	53
Ga0531457_000199	(32849_236162_149089, 60443_211449_195078, 149089_240583_153359, 149396_60443_211449, 195078_201465_234451, 201465_195078_211449, 228828_153359_240583, 236162_149089_240583)	2
Ga0531457_000202	(396_172588_159763, 28783_135275_240726, 32601_159763_172588, 134331_240726_135275, 159763_32601_190390)	0
Ga0531457_000203	(50308_128744_76581)	58
Ga0531457_000204	(76590_133484_133756, 133067_133756_133484, 133067_134456_159250, 133484_76590_159268, 133756_133067_134456)	50
Ga0531457_000205	(76590_133484_133756, 133067_133756_133484, 133067_134456_159250, 133756_133067_134456)	50
Ga0531457_000208	(24747_47354_93737, 28987_89786_144165, 89786_144165_193010)	61
Ga0531457_000214	(172588_9139_190390, 172592_75950_228870)	0
Ga0531457_000216	(51058_60674_212335, 51058_107136_134637, 51514_212335_60674, 51514_223182_100095, 60674_51058_107136, 107136_134637_149159, 134107_149159_134637, 212335_51514_223182)	45
Ga0531457_000218	(107848_223798_243148, 193436_243148_223798, 223798_107848_238278)	24
Ga0531457_000221	(114_216487_149108, 396_172588_159763, 3337_167968_84220, 20273_190390_32601, 32601_159763_172588, 159763_32601_190390, 167968_84220_236162)	0
Ga0531457_000222	(17365_53610_238346, 17365_144617_236437, 20274_100126_193381, 32634_42156_193134, 32634_243824_68071, 42156_32634_243824, 53610_17365_144617, 100126_193381_107646)	0
Ga0531457_000225	(3585_216282_50878, 32172_53582_53582, 53582_53582_68915, 216279_20291_234688)	58
Ga0531457_000226	(42156_42250_243824, 42156_134824_193134, 42191_193134_134824, 42250_42156_134824)	1
Ga0531457_000229	(59394_75065_84127)	7
Ga0531457_000231	(32943_193007_170518, 37107_50380_134074, 50380_134074_170518, 134074_170518_193007, 193007_32943_228322, 221183_51711_240620)	53
Ga0531457_000234	(13929_53365_193501, 13929_144306_244445, 37368_42156_193134, 42156_37368_243824, 42156_193134_236211, 53365_13929_144306)	16
Ga0531457_000239	(3552_134637_60674, 51514_212335_60674, 212335_51514_223182)	45
Ga0531457_000242	(22077_75743_101448, 37028_22077_75743, 151537_59400_195724)	10
Ga0531457_000243	(32943_193007_170518, 32943_228322_59567, 50380_134074_170518, 134074_170518_193007, 159519_59567_228322, 193007_32943_228322)	53
Ga0531457_000255	(17365_144617_122939, 17365_202778_185588, 42156_42250_243824, 42156_134824_193134, 42250_42156_134824, 50246_59531_115091, 68071_223210_122939, 134824_193134_149422, 144617_17365_202778, 144617_122939_223210)	1
Ga0531457_000257	(24673_219359_193658, 28704_60073_193402, 28704_240122_60804, 50308_60804_240122, 50308_128744_76581, 60073_28704_240122, 60073_193402_201451, 60804_50308_128744)	58
Ga0531457_000258	(3552_134637_60674)	45
Ga0531457_000261	(3585_216282_50878, 53582_53582_68915, 216279_20291_234688)	58
Ga0531457_000262	(851_150396_93109, 150396_851_216465)	10
Ga0531457_000263	(55030_74972_104703, 55030_199271_55713, 74972_55030_199271, 74972_104703_199262, 104703_199262_236193, 104704_236193_199262, 143332_55713_199271, 188628_244356_229299)	68
Ga0531457_000266	(56889_193775_195840, 92319_56889_193775)	67
Ga0531457_000267	(6936_134195_64467, 32243_37642_202552, 32243_240572_187325, 34341_97036_187325, 37642_32243_240572, 97036_187325_240572)	74
Ga0531457_000268	(50290_191939_202556, 50291_50290_191939, 159408_149691_201641)	50
Ga0531457_000270	(114_134330_59522, 396_149108_28783, 396_172588_159763, 28783_135275_240726, 134331_240726_135275, 149108_396_172588)	0
Ga0531457_000271	(75743_92429_102725, 92429_75743_143180)	49
Ga0531457_000275	(32172_53582_53582, 53582_53582_68915)	58
Ga0531457_000277	(2821_240332_151710, 76873_151710_240332)	49
Ga0531457_000282	(37925_151389_151736, 38832_143193_123936, 134399_151736_151389)	67
Ga0531457_000283	(396_149108_28783)	0
Ga0531457_000284	(17365_144617_122939, 17365_234857_80765, 144617_17365_234857, 159287_80765_234857)	1
